,Usia,Gender,Gaji,Jumlah Anak
0,52,P,4-6JT,4
1,39,P,1-3JT,1
2,23,L,4-6JT,5
3,51,P,1-3JT,3
4,38,L,1-3JT,3
5,42,P,7-10JT,4
6,20,P,4-6JT,2
7,27,P,1-3JT,3
8,45,P,7-10JT,2
9,55,L,1-3JT,4
10,53,P,1-3JT,5
11,31,L,7-10JT,2
12,41,P,1-3JT,0
13,37,L,7-10JT,6
14,43,P,1-3JT,5
15,51,P,7-10JT,5
16,32,P,7-10JT,2
17,26,L,4-6JT,3
18,22,P,4-6JT,4
19,35,P,1-3JT,5
20,21,P,4-6JT,6
21,45,L,1-3JT,6
22,38,L,4-6JT,5
23,57,L,4-6JT,4
24,19,L,4-6JT,0
25,46,L,1-3JT,3
26,47,L,7-10JT,5
27,54,P,7-10JT,3
28,53,P,7-10JT,1
29,35,L,4-6JT,2
30,21,P,1-3JT,5
31,48,P,7-10JT,5
32,22,P,4-6JT,3
33,47,P,4-6JT,4
34,31,P,1-3JT,2
35,59,L,7-10JT,6
36,53,L,7-10JT,5
37,45,L,7-10JT,1
38,29,P,7-10JT,2
39,42,L,4-6JT,1
40,24,L,4-6JT,5
41,48,L,1-3JT,6
42,18,P,7-10JT,6
43,44,L,7-10JT,3
44,17,P,7-10JT,0
45,47,L,1-3JT,4
46,19,L,7-10JT,0
47,49,L,4-6JT,3
48,51,P,1-3JT,5
49,55,L,7-10JT,2
50,57,L,7-10JT,3
51,48,L,4-6JT,6
52,40,L,1-3JT,0
53,42,P,1-3JT,4
54,45,P,1-3JT,3
55,17,L,4-6JT,6
56,21,P,1-3JT,3
57,44,P,4-6JT,4
58,31,P,1-3JT,3
59,59,P,4-6JT,4
60,27,L,7-10JT,5
61,23,P,1-3JT,5
62,42,P,4-6JT,2
63,30,L,4-6JT,6
64,36,P,4-6JT,1
65,38,L,7-10JT,1
66,43,L,7-10JT,0
67,28,P,4-6JT,1
68,41,P,4-6JT,2
69,34,P,1-3JT,1
70,19,L,4-6JT,4
71,24,L,4-6JT,5
72,28,P,1-3JT,4
73,28,L,1-3JT,5
74,42,L,1-3JT,6
75,18,L,7-10JT,2
76,45,P,1-3JT,4
77,19,P,1-3JT,3
78,40,L,1-3JT,4
79,24,P,7-10JT,3
80,46,P,7-10JT,3
81,19,L,4-6JT,5
