,Usia,Gender,Gaji,Jumlah Anak
0,30,P,4-6JT,4
1,20,P,4-6JT,2
2,23,L,4-6JT,5
3,60,L,7-10JT,4
4,41,P,4-6JT,6
5,59,P,4-6JT,3
6,22,P,4-6JT,4
7,57,P,4-6JT,2
8,52,P,4-6JT,6
9,53,L,4-6JT,0
10,42,L,4-6JT,4
11,22,L,7-10JT,4
12,43,P,4-6JT,2
13,36,L,7-10JT,5
14,55,P,4-6JT,1
15,60,L,1-3JT,5
16,18,L,4-6JT,5
17,34,L,1-3JT,3
18,33,L,4-6JT,6
19,17,L,4-6JT,6
20,25,P,1-3JT,1
21,43,P,7-10JT,0
22,60,L,7-10JT,2
23,44,L,4-6JT,6
24,26,P,4-6JT,0
25,48,P,7-10JT,6
26,40,P,4-6JT,0
27,59,P,1-3JT,0
28,59,L,4-6JT,5
29,17,P,1-3JT,2
30,17,L,1-3JT,5
31,23,L,7-10JT,5
32,31,P,7-10JT,5
33,23,P,7-10JT,5
34,47,P,7-10JT,5
35,33,L,7-10JT,6
36,26,P,1-3JT,4
37,53,L,7-10JT,3
38,29,L,7-10JT,5
39,48,P,1-3JT,3
40,55,L,4-6JT,4
41,28,L,1-3JT,5
42,34,L,1-3JT,2
43,49,L,4-6JT,1
44,20,L,1-3JT,5
45,21,P,1-3JT,0
46,41,P,4-6JT,1
47,27,L,4-6JT,6
48,55,L,1-3JT,4
49,36,L,1-3JT,0
50,45,L,7-10JT,3
51,35,P,7-10JT,4
52,41,L,4-6JT,6
53,34,P,1-3JT,4
54,24,P,4-6JT,0
55,19,P,1-3JT,6
56,17,P,4-6JT,1
57,59,P,7-10JT,4
58,29,L,7-10JT,4
59,40,L,4-6JT,4
60,44,P,7-10JT,0
61,36,L,7-10JT,4
62,22,L,1-3JT,0
63,36,L,7-10JT,2
64,47,L,7-10JT,4
65,18,P,4-6JT,1
66,52,L,4-6JT,1
67,35,L,1-3JT,1
68,46,P,7-10JT,6
69,43,L,4-6JT,4
70,26,L,7-10JT,1
71,21,P,1-3JT,3
72,41,P,4-6JT,3
73,25,P,1-3JT,3
74,17,L,4-6JT,4
75,60,P,7-10JT,0
76,20,L,7-10JT,6
77,50,L,1-3JT,1
78,46,L,7-10JT,2
79,27,P,4-6JT,2
80,29,L,7-10JT,5
81,52,P,1-3JT,0
82,24,P,1-3JT,3
83,19,L,1-3JT,0
84,34,L,1-3JT,0
85,27,P,7-10JT,3
86,27,P,7-10JT,4
87,33,L,4-6JT,1
88,26,L,7-10JT,1
89,28,P,4-6JT,5
90,22,P,1-3JT,5
91,32,P,7-10JT,0
92,56,L,1-3JT,4
93,23,L,1-3JT,2
94,20,L,4-6JT,6
95,54,P,1-3JT,1
96,25,L,7-10JT,6
97,17,P,7-10JT,3
98,25,L,1-3JT,2
99,26,L,7-10JT,4
100,21,L,7-10JT,3
101,51,L,1-3JT,1
102,26,P,4-6JT,1
103,55,L,4-6JT,4
104,35,P,1-3JT,4
105,31,L,7-10JT,0
106,38,P,7-10JT,2
107,56,P,1-3JT,3
108,20,P,4-6JT,4
109,23,P,7-10JT,5
